绿梅三村,2室1厅,59.4平米,https://sh.lianjia.com/chengjiao/107101124346.html,2019.10.14,251,挂牌259万,成交周期212天,42256,高楼层(共6层),1994年建板楼,南 西南 , 简装
春申府邸,1室2厅,68.56平米,https://sh.lianjia.com/chengjiao/107101800718.html,2019.10.14,344,挂牌360万,成交周期16天,50103,高楼层(共11层),2007年建板楼,南 , 简装
莘东路12弄,2室1厅,64.14平米,https://sh.lianjia.com/chengjiao/107101708192.html,2019.10.14,265,挂牌275万,成交周期43天,41316,中楼层(共6层),1992年建板楼,南 , 简装
小富人家,2室2厅,80.58平米,https://sh.lianjia.com/chengjiao/107101781445.html,2019.10.13,386,挂牌402万,成交周期21天,47903,低楼层(共6层),2003年建板楼,南 , 简装
品家都市星城,2室2厅,88.86平米,https://sh.lianjia.com/chengjiao/107101814831.html,2019.10.12,560,挂牌580万,成交周期10天,63021,中楼层(共17层),2008年建板楼,南 , 精装
绿梅三村,1室1厅,50.61平米,https://sh.lianjia.com/chengjiao/107101035200.html,2019.10.11,235,挂牌243万,成交周期233天,46434,中楼层(共6层),1993年建板楼,南 西南 , 简装
香树丽舍,2室1厅,98.49平米,https://sh.lianjia.com/chengjiao/107101804659.html,2019.10.10,465,挂牌480万,成交周期11天,47213,低楼层(共6层),2001年建板楼,南 , 精装
上海康城,2室2厅,100.07平米,https://sh.lianjia.com/chengjiao/107101216510.html,2019.10.09,323,挂牌325万,成交周期180天,32278,低楼层(共17层),2006年建板楼,南 , 简装
江南名邸,2室2厅,97.03平米,https://sh.lianjia.com/chengjiao/107101704933.html,2019.10.08,568,挂牌578万,成交周期38天,58539,中楼层(共13层),2004年建板楼,南 , 精装
绿梅三村,2室1厅,51.67平米,https://sh.lianjia.com/chengjiao/107101783467.html,2019.10.08,240,挂牌251万,成交周期15天,46449,低楼层(共6层),1993年建板楼,南 , 其他
东苑新天地,2室2厅,99.83平米,https://sh.lianjia.com/chengjiao/107101819497.html,2019.10.08,510,挂牌535万,成交周期4天,51087,中楼层(共14层),2004年建板楼,南 , 精装
莘城苑,2室2厅,81.62平米,https://sh.lianjia.com/chengjiao/107101743667.html,2019.10.08,288,挂牌298万,成交周期27天,35286,中楼层(共6层),1997年建板楼,南 , 精装
东湖花园,2室1厅,69.27平米,https://sh.lianjia.com/chengjiao/107101797365.html,2019.10.08,280,挂牌290万,成交周期11天,40422,低楼层(共7层),1999年建板楼,南 , 简装
团结花苑,2室2厅,95.32平米,https://sh.lianjia.com/chengjiao/107100982494.html,2019.10.08,416,挂牌425万,成交周期258天,43643,中楼层(共6层),1994年建板楼,南 北 , 简装
黎安四村,2室2厅,86.66平米,https://sh.lianjia.com/chengjiao/107101678195.html,2019.10.08,342,挂牌358万,成交周期45天,39465,中楼层(共6层),1997年建板楼,南 , 精装
莘沥路20弄,2室1厅,65.71平米,https://sh.lianjia.com/chengjiao/107101723857.html,2019.10.08,353,挂牌365万,成交周期32天,53721,高楼层(共6层),1994年建板楼,南 , 简装
绿梅二村,2室1厅,78.24平米,https://sh.lianjia.com/chengjiao/107100718933.html,2019.10.08,327,挂牌340万,成交周期360天,41795,中楼层(共6层),1994年建板楼,南 北 , 简装
万科假日风景(公寓),2室2厅,91.36平米,https://sh.lianjia.com/chengjiao/107101821282.html,2019.10.07,588,挂牌599万,成交周期3天,64361,中楼层(共5层),2004年建板楼,南 , 精装
新申花城茉莉苑,2室2厅,71.43平米,https://sh.lianjia.com/chengjiao/107101703388.html,2019.10.04,438,挂牌450万,成交周期35天,61263,中楼层(共6层),1997年建板楼,南 北 , 其他
盛园(公寓),1室1厅,55.8平米,https://sh.lianjia.com/chengjiao/107101643201.html,2019.10.02,320,挂牌330万,成交周期49天,57348,中楼层(共8层),2006年建板楼,南 , 精装
